Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    2.40000e-05    3.28931e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.97358e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.88423e+05
    2.67418e-05    4.51390e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.66451e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.70386e+06
    2.97969e-05    6.19441e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.51599e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.93714e+06
    3.32010e-05    8.50056e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.56531e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.06308e+06
    3.69939e-05    1.16653e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.85846e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.72781e+06
    4.12202e-05    1.60082e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.45208e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.50451e+07
    4.59294e-05    2.19680e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.04160e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.59350e+07
    5.11765e-05    3.01466e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.28362e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.47071e+07
    5.70230e-05    4.13700e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.58188e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.70668e+07
    6.35375e-05    5.67718e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.94945e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.32849e+08
    7.07962e-05    7.79077e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.40242e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.29007e+08
